date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:42:05	1591039/1591039	---M-Z	200	added ('OK')	text/html	etag:%2228a65628a3e532560b7dc86ce91369f0%22	https://spicy-step-903793.framer.app/	C:/Users/nhadi/OneDrive/Desktop/knot-site/spicy-step-903793.framer.app/index.html	(from )
21:42:05	106/106	---M-Z	200	added ('OK')	text/plain	etag:%22d22cd9e94edc5efcfe46e4471acfa557%22	https://spicy-step-903793.framer.app/robots.txt		(from )
21:42:06	380/380	---MC-	200	added ('OK')	image/png	etag:%22ff4ef25d9a078b9b7e11a830de7183c5%22	https://framerusercontent.com/images/GYMrZEpAq0DXL9rtPn4egX0B8TA.png	C:/Users/nhadi/OneDrive/Desktop/knot-site/framerusercontent.com/images/GYMrZEpAq0DXL9rtPn4egX0B8TA.png	(from https://spicy-step-903793.framer.app/)
21:42:06	381/381	---MC-	200	added ('OK')	image/png	etag:%22dabbf5ff0764f16dd0ea07acd5dc461e%22	https://framerusercontent.com/images/lkLm0ho2ZXy8BQVun9QbKwvP048.png	C:/Users/nhadi/OneDrive/Desktop/knot-site/framerusercontent.com/images/lkLm0ho2ZXy8BQVun9QbKwvP048.png	(from https://spicy-step-903793.framer.app/)
21:42:06	70398/70398	---MC-	200	added ('OK')	image/png	etag:%228c588232fa8b8dc68f6089a017c3096b%22	https://framerusercontent.com/images/MCeLrugFr7ppc87rfoKhMYrgzMc.png	C:/Users/nhadi/OneDrive/Desktop/knot-site/framerusercontent.com/images/MCeLrugFr7ppc87rfoKhMYrgzMc.png	(from https://spicy-step-903793.framer.app/)
21:42:07	1225546/1225546	---M--	200	added ('OK')	image/png	etag:%22f205ade5d7a0671db508620b6ec657c3%22	https://framerusercontent.com/assets/n3bkTssePLzqtNYbui6VhKcRQU.png	C:/Users/nhadi/OneDrive/Desktop/knot-site/framerusercontent.com/assets/n3bkTssePLzqtNYbui6VhKcRQU.png	(from https://spicy-step-903793.framer.app/)
21:42:07	279168/279168	---M-Z	200	added ('OK')	text/html	etag:%22f2d3309c336655072b544f0bffb9e407%22	https://spicy-step-903793.framer.app/work	C:/Users/nhadi/OneDrive/Desktop/knot-site/spicy-step-903793.framer.app/work.html	(from https://spicy-step-903793.framer.app/)
21:42:07	870013/870013	---M-Z	200	added ('OK')	text/html	etag:%2274746c72f078163a6a8bcc16a24723cb%22	https://spicy-step-903793.framer.app/platform	C:/Users/nhadi/OneDrive/Desktop/knot-site/spicy-step-903793.framer.app/platform.html	(from https://spicy-step-903793.framer.app/)
21:42:08	269293/269293	---M-Z	200	added ('OK')	text/html	etag:%2283325547a138156ecad38d1ba3af0a06%22	https://spicy-step-903793.framer.app/changelog	C:/Users/nhadi/OneDrive/Desktop/knot-site/spicy-step-903793.framer.app/changelog.html	(from https://spicy-step-903793.framer.app/)
21:42:08	303297/303297	---M-Z	200	added ('OK')	text/html	etag:%229d5b6edab8c6a22d60608d39bfc44a28%22	https://spicy-step-903793.framer.app/contact	C:/Users/nhadi/OneDrive/Desktop/knot-site/spicy-step-903793.framer.app/contact.html	(from https://spicy-step-903793.framer.app/)
21:42:08	236422/236422	---M-Z	200	added ('OK')	text/html	etag:%2239e6d9728fecb9d1509b19804381b3c6%22	https://spicy-step-903793.framer.app/get-started	C:/Users/nhadi/OneDrive/Desktop/knot-site/spicy-step-903793.framer.app/get-started.html	(from https://spicy-step-903793.framer.app/)
21:42:09	255379/255379	---M-Z	200	added ('OK')	text/html	etag:%2271b7696160c6803838777441d7b72766%22	https://spicy-step-903793.framer.app/changelog/knot-ai-2.0	C:/Users/nhadi/OneDrive/Desktop/knot-site/spicy-step-903793.framer.app/changelog/knot-ai-2.html	(from https://spicy-step-903793.framer.app/)
